Type,Area(m2),Price(VNĐ),Bedroom(Phòng),Floor(Tầng),Furniture,Legal,Posting date,District,Project
Căn hộ chung cư,100,17500000000,3,3,Nội thất đầy đủ,Không có thông tin,5/11/2025,1,Dự án Vinhomes Golden River Ba Son
Căn hộ chung cư,55,6500000000,1,3,Nội thất đầy đủ,Hợp đồng mua bán,5/14/2025,2,Dự án Eaton Park
Căn hộ chung cư,59,2800000000,2,3,Không có thông tin,Không có thông tin,5/2/2025,9,Không
Căn hộ chung cư,103,,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/13/2025,2,Dự án Eaton Park
Căn hộ chung cư,61,2600000000,3,3,Khác,Không có thông tin,5/2/2025,9,Dự án Vinhomes Grand Park
Căn hộ chung cư,61,2700000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,9,Dự án The Origami
Căn hộ chung cư,80,6100000000,2,3,Nội thất cơ bản,Không có thông tin,4/30/2025,9,Dự án The Opus One - Vinhomes Grand Park
Căn hộ chung cư,70,3100000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,4/29/2025,9,Dự án The Beverly Solari  - Vinhomes Grand Park
Căn hộ chung cư,83,5520000000,2,3,Không có thông tin,Hợp đồng mua bán,5/15/2025,9,Không
Căn hộ chung cư,75,10600000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,2,Dự án Eaton Park
Căn hộ chung cư,85,,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/13/2025,4,Không
Căn hộ chung cư,90,,3,3,Không có thông tin,Không có thông tin,5/1/2025,9,Dự án Vinhomes Grand Park
Căn hộ chung cư,59,2880000000,2,3,Không có thông tin,Không có thông tin,5/6/2025,9,Dự án The Beverly Solari  - Vinhomes Grand Park
Nhà riêng,82,9200000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/3/2025,3,Không
Căn hộ chung cư,66,4150000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,5/3/2025,7,Dự án Eco Green Sài Gòn
Căn hộ chung cư,56.68,20660000000,1,3,Nội thất đầy đủ,Hợp đồng mua bán,5/14/2025,1,Dự án Grand Marina Saigon
Căn hộ chung cư,69,3800000000,3,3,Nội thất đầy đủ,Hợp đồng mua bán,5/13/2025,9,Dự án The Beverly Solari  - Vinhomes Grand Park
Căn hộ chung cư,56,20000000000,1,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/9/2025,1,Dự án Grand Marina Saigon
Căn hộ chung cư,52,6500000000,1,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/9/2025,2,Dự án Lumiere Riverside
Căn hộ chung cư,70,19000000000,2,3,Nội thất đầy đủ,Không có thông tin,4/28/2025,2,Không
Căn hộ chung cư,70,17000000000,2,3,Nội thất đầy đủ,Hợp đồng mua bán,5/2/2025,2,Dự án The Opera Residence
Căn hộ chung cư,74,,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/2/2025,2,Dự án Masteri Thảo Điền
Căn hộ chung cư,181,36000000000,4,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/2/2025,2,Không
Căn hộ chung cư,60,2960000000,3,3,Không có thông tin,Không có thông tin,5/2/2025,9,Không
"Nhà biệt thự, liền kề",84,13500000000,3,5,Không có thông tin,Hợp đồng mua bán,5/9/2025,9,Dự án Vinhomes Grand Park
Căn hộ chung cư,70,6000000000,2,3,Không có thông tin,Không có thông tin,5/9/2025,2,Dự án Masteri Thảo Điền
Căn hộ chung cư,85,,2,3,Không có thông tin,Không có thông tin,5/2/2025,2,Dự án The Privé
Căn hộ chung cư,59,2600000000,2,3,Không có thông tin,Không có thông tin,5/2/2025,9,Dự án Vinhomes Grand Park
Căn hộ chung cư,65,6700000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/2/2025,2,Dự án Masteri Thảo Điền
Căn hộ chung cư,68,3000000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/2/2025,7,Dự án Q7 Saigon Riverside
Căn hộ chung cư,68,3000000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,5/8/2025,7,Dự án Q7 Saigon Riverside
Căn hộ chung cư,94,11000000000,2,3,Không có thông tin,Sổ đỏ và sổ hồng,5/1/2025,2,Dự án The River Thủ Thiêm
Căn hộ chung cư,86,15000000000,2,3,Không có thông tin,Không có thông tin,5/1/2025,2,Dự án The Opera Residence
Căn hộ chung cư,103.7,17500000000,3,3,Không có thông tin,Hợp đồng mua bán,5/1/2025,2,Không
Căn hộ chung cư,50,9500000000,1,3,Không có thông tin,Sổ đỏ và sổ hồng,5/9/2025,2,Dự án The Galleria Residence
Nhà riêng,12.2,1980000000,2,2,Không có thông tin,Sổ đỏ và sổ hồng,5/1/2025,11,Không
Căn hộ chung cư,80,4250000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,4/30/2025,9,Dự án Elysian
Căn hộ chung cư,87,9000000000,2,3,Không có thông tin,Hợp đồng mua bán,4/30/2025,2,Không
Nhà mặt phố,53.9,19900000000,4,5,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/15/2025,3,Không
Nhà mặt phố,40.6,26000000000,5,5,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/15/2025,1,Không
Nhà mặt phố,53.7,26000000000,4,4,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/15/2025,3,Không
Nhà mặt phố,62.5,19000000000,4,4,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/15/2025,2,Không
Căn hộ chung cư,78.22,28600000000,2,3,Không có thông tin,Hợp đồng mua bán,4/30/2025,1,Không
Căn hộ chung cư,128,,3,3,Không có thông tin,Hợp đồng mua bán,4/30/2025,2,Dự án Lumière Midtown
Căn hộ chung cư,70,,2,3,Nội thất cơ bản,Hợp đồng mua bán,5/9/2025,7,Dự án Q7 Saigon Riverside
Căn hộ chung cư,74.7,,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/29/2025,2,Không
Căn hộ chung cư,47,1820000000,3,3,Nội thất đầy đủ,Sổ hồng,4/29/2025,9,Dự án  The Manhattan Glory
Căn hộ chung cư,59.2,3140000000,2,3,Không có thông tin,Hợp đồng mua bán,5/6/2025,9,Không
Căn hộ chung cư,62,1450000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,4/29/2025,8,Dự án Dream Home Riverside
Nhà riêng,53.3,4850000000,2,1,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/8/2025,12,Không
Căn hộ chung cư,61,5500000000,2,3,Nội thất đầy đủ,Hợp đồng mua bán,5/9/2025,2,Không
Căn hộ chung cư,94,18500000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/8/2025,2,Dự án The Galleria Residence
Căn hộ chung cư,70,,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/14/2025,2,Dự án Masteri Thảo Điền
Căn hộ chung cư,58.7,3290000000,2,3,Không có thông tin,Hợp đồng mua bán,5/7/2025,9,Dự án The Origami
Căn hộ chung cư,75,9000000000,2,3,Nội thất đầy đủ,Hợp đồng mua bán,5/12/2025,2,Dự án Lumiere Riverside
Căn hộ chung cư,70,16000000000,2,3,Nội thất đầy đủ,Không có thông tin,4/28/2025,2,Dự án The Opera Residence
Nhà riêng,56,9500000000,4,3,Nội thất đầy đủ,Sổ hồng,4/28/2025,7,Không
Căn hộ chung cư,66.5,3990000000,2,3,Không có thông tin,Hợp đồng mua bán,5/8/2025,9,Không
Căn hộ chung cư,110,19660000000,3,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/27/2025,1,Dự án The Marq
Căn hộ chung cư,60,2700000000,1,3,Nội thất cơ bản,Không có thông tin,4/27/2025,8,Dự án The Pegasuite
Căn hộ chung cư,70,,2,3,Nội thất đầy đủ,Không có thông tin,4/27/2025,2,Dự án The Privé
Căn hộ chung cư,80,4200000000,2,3,Không có thông tin,Hợp đồng mua bán,5/12/2025,9,Dự án Elysian
"Nhà biệt thự, liền kề",200,15800000000,5,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/26/2025,12,Không
Căn hộ chung cư,83,16500000000,2,3,Không có thông tin,Không có thông tin,5/8/2025,2,Dự án The Metropole
Đất bán,66.1,4100000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/12/2025,9,Không
Căn hộ chung cư,68,3050000000,2,3,Không có thông tin,Sổ đỏ và sổ hồng,5/11/2025,8,Không
"Nhà biệt thự, liền kề",149,17500000000,4,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/25/2025,9,Không
Căn hộ chung cư,88,9200000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/25/2025,10,Dự án HaDo Centrosa Garden
Nhà riêng,117,26000000000,6,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/8/2025,2,Không
Căn hộ chung cư,75,,2,3,Nội thất đầy đủ,Hợp đồng mua bán,5/4/2025,7,Dự án The Peak Garden
Nhà riêng,103,7600000000,2,1,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/4/2025,9,Không
Căn hộ chung cư,80,4500000000,2,3,Không có thông tin,Không có thông tin,5/4/2025,7,Không
Nhà riêng,80,6050000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/12/2025,12,Không
Căn hộ chung cư,101,7500000000,3,3,Không có thông tin,Không có thông tin,5/12/2025,7,Dự án Park View
Căn hộ chung cư,137,11200000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/12/2025,7,Không
Căn hộ chung cư,77,9400000000,2,3,Nội thất đầy đủ,Hợp đồng mua bán,5/4/2025,2,Không
Căn hộ chung cư,54,2000000000,2,3,Không có thông tin,Không có thông tin,5/14/2025,12,Dự án Prosper Plaza
Căn hộ chung cư,160,43000000000,4,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/4/2025,1,Không
Căn hộ chung cư,81,3700000000,2,3,Không có thông tin,Hợp đồng mua bán,5/11/2025,2,Dự án Homyland Riverside
Căn hộ chung cư,67,3500000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/14/2025,9,Dự án Safira Khang Điền
Đất bán,60,3300000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,12,Không
Căn hộ chung cư,66.66,3080000000,3,3,Không có thông tin,Hợp đồng mua bán,4/30/2025,7,Không
Đất nền dự án,250,25750000000,-1,-1,Không có thông tin,Sổ đỏ,5/3/2025,9,Dự án Hoàng Anh Minh Tuấn
Đất nền dự án,110,10120000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,9,Dự án KDC Kiến Á
Đất nền dự án,267.5,22470000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/3/2025,9,Không
Căn hộ chung cư,67,3600000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/7/2025,9,Dự án Safira Khang Điền
Căn hộ chung cư,73.9,3700000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/11/2025,9,Dự án Safira Khang Điền
Căn hộ chung cư,67,3600000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/9/2025,9,Không
Căn hộ chung cư,60,8500000000,1,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/3/2025,2,Dự án Zeit River Thủ Thiêm 
Căn hộ chung cư,76,4000000000,2,3,Nội thất đầy đủ,Đang chờ sổ,5/3/2025,7,Dự án Sunrise City View
Căn hộ chung cư,76,5950000000,2,3,Nội thất đầy đủ,Hợp đồng mua bán,5/12/2025,2,Không
Căn hộ chung cư,109,9400000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/13/2025,2,Dự án Feliz En Vista
Căn hộ chung cư,82,4300000000,3,3,Không có thông tin,Không có thông tin,5/3/2025,9,Không
Căn hộ chung cư,97,14900000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,5/13/2025,2,Dự án Zeit River Thủ Thiêm 
"Nhà biệt thự, liền kề",100,8490000000,4,4,Nội thất đầy đủ,Sổ hồng,5/14/2025,9,Không
Căn hộ chung cư,63,2600000000,1,3,Nội thất cơ bản,Hợp đồng mua bán,5/6/2025,9,Dự án MT Eastmark City
Căn hộ chung cư,61.4,2500000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/3/2025,12,Không
Căn hộ chung cư,104,11000000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/3/2025,2,Không
"Nhà biệt thự, liền kề",110,9600000000,4,3,Không nội thất,Sổ hồng,5/3/2025,9,Dự án Melosa Garden
Căn hộ chung cư,54,,3,3,Không có thông tin,Không có thông tin,5/3/2025,9,Dự án The Opus One - Vinhomes Grand Park
Căn hộ chung cư,65,2000000000,2,3,Không nội thất,Không có thông tin,5/11/2025,9,Dự án Sài Gòn Gateway
Nhà mặt phố,130,8100000000,3,1,Không nội thất,Sổ đỏ và sổ hồng,5/3/2025,12,Không
Căn hộ chung cư,139,8700000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/11/2025,7,Không
Căn hộ chung cư,50,9500000000,1,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/2/2025,2,Dự án The Galleria Residence
Căn hộ chung cư,55,3730000000,1,3,Nội thất cơ bản,Hợp đồng mua bán,5/10/2025,9,Dự án The Opus One - Vinhomes Grand Park
Căn hộ chung cư,56,2900000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/13/2025,2,Không
Căn hộ chung cư,62.13,2010000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,5/13/2025,2,Không
Căn hộ chung cư,80,4800000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/2/2025,4,Không
Căn hộ chung cư,60,2900000000,2,3,Không có thông tin,Sổ đỏ và sổ hồng,5/2/2025,9,Không
Căn hộ chung cư,69,3600000000,2,3,Không có thông tin,Không có thông tin,5/2/2025,9,Không
"Nhà biệt thự, liền kề",92.2,16900000000,6,4,Không nội thất,Sổ đỏ và sổ hồng,5/9/2025,9,Dự án The Classia
Căn hộ chung cư,65,2650000000,2,3,Nội thất đầy đủ,Hợp đồng mua bán,4/28/2025,9,Dự án MT Eastmark City
Căn hộ chung cư,52,1850000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,5/2/2025,8,Dự án Dream Home Palace
Căn hộ chung cư,59,2200000000,2,3,Không có thông tin,Không có thông tin,5/9/2025,9,Dự án The Rainbow - Vinhomes Grand Park
Căn hộ chung cư,65,2500000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/10/2025,9,Dự án MT Eastmark City
Căn hộ chung cư,74,4350000000,2,3,Nội thất cơ bản,Không có thông tin,5/2/2025,9,Dự án Lumiere Boulevard
Căn hộ chung cư,75,4390000000,2,3,Nội thất cơ bản,Không có thông tin,5/9/2025,9,Không
Căn hộ chung cư,67,3600000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/12/2025,9,Không
Căn hộ chung cư,113.5,,3,3,Không có thông tin,Không có thông tin,5/2/2025,2,Dự án Masteri Grand View
Căn hộ chung cư,120,11300000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/9/2025,2,Dự án Diamond Island
Căn hộ chung cư,62,1850000000,2,3,Nội thất đầy đủ,Hợp đồng mua bán,5/10/2025,8,Dự án Dream Home Palace
Đất nền dự án,200,19000000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/9/2025,2,Dự án Thạnh Mỹ Lợi
Căn hộ chung cư,67.37,3000000000,2,3,Không có thông tin,Hợp đồng mua bán,5/1/2025,7,Dự án Q7 Saigon Riverside
Căn hộ chung cư,54,2150000000,2,3,Không có thông tin,Không có thông tin,5/12/2025,12,Dự án Prosper Plaza
Căn hộ chung cư,109,23000000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/1/2025,2,Không
Đất bán,133,10000000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/1/2025,9,Không
Căn hộ chung cư,51,6800000000,1,3,Không có thông tin,Không có thông tin,5/1/2025,1,Không
Nhà riêng,98,33500000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/8/2025,1,Không
Căn hộ chung cư,127,40000000000,3,3,Nội thất đầy đủ,Hợp đồng mua bán,5/11/2025,2,Không
Đất nền dự án,90,9000000000,-1,-1,Không có thông tin,Không có thông tin,5/1/2025,9,Không
Căn hộ chung cư,115,9800000000,3,3,Nội thất đầy đủ,Đang chờ sổ,5/13/2025,2,Dự án One Verandah Mapletree
Nhà riêng,87.5,4700000000,2,3,Nội thất sang trọng,Sổ đỏ và sổ hồng,4/30/2025,12,Không
"Nhà biệt thự, liền kề",175,,4,3,Không nội thất,Sổ đỏ và sổ hồng,5/16/2025,9,Dự án Lucasta Villa
"Nhà biệt thự, liền kề",90,12500000000,4,4,Không nội thất,Sổ đỏ và sổ hồng,5/16/2025,9,Dự án Verosa Park
Căn hộ chung cư,98,10000000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/30/2025,2,Không
Căn hộ chung cư,80,6800000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/30/2025,2,Dự án One Verandah Mapletree
Căn hộ chung cư,80.8,,2,3,Không có thông tin,Không có thông tin,4/30/2025,2,Dự án The Global City
Căn hộ chung cư,140,19000000000,3,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/14/2025,2,Dự án The River Thủ Thiêm
Căn hộ chung cư,106.39,40800000000,2,3,Nội thất đầy đủ,Hợp đồng mua bán,4/30/2025,1,Dự án Grand Marina Saigon
Nhà mặt phố,205,37000000000,4,4,Không có thông tin,Không có thông tin,4/30/2025,2,Không
"Nhà biệt thự, liền kề",132,13000000000,3,3,Không nội thất,Không có thông tin,5/15/2025,2,Dự án Sol Villas
Nhà riêng,83.6,8800000000,4,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/30/2025,7,Không
Căn hộ chung cư,150,,4,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,4/30/2025,2,Không
Nhà riêng,48,12200000000,4,4,Nội thất đầy đủ,Sổ đỏ và sổ hồng,4/29/2025,3,Không
Căn hộ chung cư,72,4100000000,2,3,Không có thông tin,Không có thông tin,5/9/2025,9,Dự án Masteri Centre Point
Căn hộ chung cư,80,6000000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,4/29/2025,9,Dự án The Opus One - Vinhomes Grand Park
Căn hộ chung cư,59,3510000000,2,3,Nội thất cơ bản,Hợp đồng mua bán,4/29/2025,9,Dự án The Origami
Căn hộ chung cư,136,11500000000,3,3,Nội thất sang trọng,Sổ đỏ và sổ hồng,5/6/2025,2,Không
Đất nền dự án,140,27300000000,-1,-1,Không có thông tin,Đang chờ sổ,5/13/2025,2,Dự án Saigon Mystery Villas
Căn hộ chung cư,143,15700000000,3,3,Nội thất sang trọng,Hợp đồng mua bán,5/6/2025,2,Dự án One Verandah Mapletree
Căn hộ chung cư,67,3600000000,2,3,Nội thất cơ bản,Sổ đỏ và sổ hồng,5/13/2025,9,Không
Căn hộ chung cư,78,,2,3,Nội thất đầy đủ,Không có thông tin,5/12/2025,2,Dự án Masteri Thảo Điền
Căn hộ chung cư,83,7000000000,2,3,Nội thất đầy đủ,Sổ hồng,5/12/2025,2,Dự án Diamond Island
Căn hộ chung cư,145,34500000000,4,3,Nội thất cơ bản,Hợp đồng mua bán,5/8/2025,1,Dự án The Marq
Căn hộ chung cư,97.51,6060000000,3,3,Không có thông tin,Không có thông tin,4/29/2025,9,Dự án Lumiere Boulevard
"Nhà biệt thự, liền kề",80,10500000000,3,3,Không nội thất,Sổ đỏ và sổ hồng,5/10/2025,9,Dự án Park Riverside Tân Cảng
Căn hộ chung cư,150,12000000000,3,3,Nội thất đầy đủ,Sổ đỏ,4/29/2025,2,Dự án The Estella
"Nhà biệt thự, liền kề",85,7950000000,4,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/10/2025,9,Dự án Melosa Garden
Căn hộ chung cư,106,20000000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,4/28/2025,2,Dự án The Galleria Residence
Căn hộ chung cư,74,5000000000,2,3,Nội thất đầy đủ,Hợp đồng mua bán,5/9/2025,9,Dự án Masteri Centre Point
Căn hộ chung cư,99,6900000000,2,3,Nội thất đầy đủ,Sổ đỏ và sổ hồng,5/13/2025,7,Dự án Sunrise City
Đất bán,90,5600000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,4/28/2025,12,Không
Nhà mặt phố,82,38000000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,4/28/2025,10,Không
Căn hộ chung cư,84,12500000000,2,3,Không có thông tin,Không có thông tin,4/28/2025,2,Dự án Thảo Điền Green
Đất bán,60,4320000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,4/28/2025,12,Không
Căn hộ chung cư,79,5100000000,2,3,Không có thông tin,Không có thông tin,4/28/2025,9,Dự án The Opus One - Vinhomes Grand Park
Căn hộ chung cư,65,2400000000,2,3,Không có thông tin,Hợp đồng mua bán,5/11/2025,12,Dự án Prosper Plaza
Căn hộ chung cư,84,6800000000,2,3,Nội thất đầy đủ,Hợp đồng mua bán,5/5/2025,2,Không
Nhà mặt phố,80,16000000000,4,4,Nội thất đầy đủ,Sổ hồng,4/28/2025,2,Dự án Khu dân cư Sông Giồng
Đất nền dự án,100,26500000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,5/12/2025,2,Dự án Thạnh Mỹ Lợi
"Nhà biệt thự, liền kề",160,10700000000,3,3,Không có thông tin,Sổ đỏ và sổ hồng,5/15/2025,9,Không
Đất nền dự án,100,6300000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,4/26/2025,9,Dự án Khu dân cư Sở Văn Hóa Thông Tin
Căn hộ chung cư,67,2500000000,2,3,Không có thông tin,Không có thông tin,5/6/2025,12,Dự án 8X Plus Trường Chinh
Đất nền dự án,140,25900000000,-1,-1,Không có thông tin,Đang chờ sổ,5/13/2025,2,Dự án Saigon Mystery Villas
Đất nền dự án,100,6500000000,-1,-1,Không có thông tin,Sổ đỏ và sổ hồng,4/25/2025,9,Dự án Khu dân cư Sở Văn Hóa Thông Tin
Căn hộ chung cư,81,3900000000,2,3,Không có thông tin,Không có thông tin,4/25/2025,2,Không
"Nhà biệt thự, liền kề",200,,4,3,Không có thông tin,Sổ đỏ và sổ hồng,5/10/2025,2,Không
